Done? (Y),Company/Organization,Test Name,Select,*URL,Test Type (Lab or Kit),Country of Origin,US Regulatory Status,Category,Authorized Setting(s) per FDA,Technology,Analyte,Assay,Specimen Type,Transport Media,Gene,Antigen,Sample Prep,Detection,TAT,Analytical Sensitivity (LOD),LOD of FDA Reference Panel (NDU/mL),Cross- Reactivity,PPA/Sensitivity,PPA Sample Size,PPA Specimen Type,NPA/Specificity,NPA Sample Size,NPV @ 5% prevalence,PPV@ 5% prevalence,Manufacturer's Validation Notes,External Quality Control,Process (internal) Control,Positive Control,*Publications,*IFU,*Letter of Authorization (EUA),Creation Date,Modified Date,,,Needs Review
,"Genalyte, Inc.",Maverick SARS-CoV-2 Multi-Antigen Serology Panel v2 ,,https://www.genalytecovid19.com/,Kit,USA,"EUA granted October 08, 2020",Laboratory,"H, M",Serology ,IgM/IgG,Photonic ring immunoassay,"Pla, Ser, VWB",Dipotassium EDTA,NA,"N, S1, S2, S1-RDB",Manual,Maverick Diagnostic System,48h,NA,,No cross-reactivity detected in wet lab testing of only 5 non-corona viruses,96.10%,181,Clinical,97.70%,862,,,"PPA determined with 181 clinical serum and plasma samples collected prospectively or retrospectively and confirmed positive with an undisclosed molecular test.
NPA determined with 814 presumptively normal clinical samples collected prior to November 2019 (type of sample undisclosed) and 48 clinical samples collected from patients confirmed negative with an undisclosed molecular test.",included,included,included,,https://www.fda.gov/media/142915/download,https://www.fda.gov/media/142912/download,,,,,
,Spectrum Solutions LLC,SDNA-1000 Saliva Collection Device ,,https://spectrumsolution.com/COVID19-at-home/,Collection,USA,"EUA granted October 08, 2020",Home collection,N/A,Saliva Collection Kit,RNA,NA,Sal,"Spectrum stabilizing solution, included in kit",NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,"Clinical validation of saliva samples showed 100% concordance using  3 different RNA extraction platforms (Perkin Elmer* Viral DNA/RNA 300 Kit H96,  ThermoFisher MagMax Viral/Pathogen II NA Extraction Kit, Qiagen DSP Virus/Pathogen Midi Kit) and 98% concordance using Roche Magna Pure LC Total Nucleic Acid Isolation Kit
100% negative sample concordance to previously analyzed matched clinical samples (undisclosed method of negativity determination) 
No significant degradation of viral RNA observed
No evidence of viral growth in the presence of SDNA-1000 lysis buffer detected (indicating virus inactivation in collected samples)",NA,NA,NA,,https://www.fda.gov/media/143055/download,https://www.fda.gov/media/142906/download,,,,,
Y,"GenMark Diagnostics, Inc.",ePlex Respiratory Pathogen Panel 2,,https://genmarkdx.com/panels/eplex-panels/respiratory-pathogen-panel/,Kit,USA,"EUA granted October 07, 2020",Laboratory,"H, M","Molecular, Multi-analyte",RNA,"RT, Nested multiplex PCR, Multi-analyte",NP swab,VTM,"SARS-CoV-2 (undisclosed target gene)  plus 15 other viruses and 2 bacteria: adenovirus, coronavirus (229E, HKU1, NL63, OC43), human metapneumovirus, human rhinovirus/enterovirus, influenza A, influenza A H1, influenza A H1-2009, influenza A H3, influenza B, parainfluenza virus 1, parainfluenza virus 2, parainfluenza virus 3, parainfluenza virus 4, respiratory syncytial virus (RSV) A, respiratory syncytial virus (RSV) B, Chlamydia pneumoniae, and Mycoplasma pneumoniae.",NA,"Fully automated extraction, reverse transcription and amplification using GenMark ePlex instrument (software version not disclosed)",GenMark ePlex instrument (software version not disclosed),ND,0.25 copies/µL (1 x 10-2 TCID50/mL),,No cross-reactivity predicted in silico nor detected in wet lab testing,100.00%,59,Clinical,100.00%,111,,,"PPA determined with 59 frozen clinical NP swab specimens collected in the US and confirmed positive using an undisclosed EUA-approved molecular test. Of note, the initial number of positive clinical samples was 60, with 1 sample not included in analysis because it did not have a valid ePlex RP2 Panel result. 
NPA determined with 111 frozen clinical NP swab specimens collected prior to 2017 in the US and presumed negative. The initial number of presumed negative clinical samples was 114, with 3 samples not included in analysis because they did not have a valid ePlex RP2 Panel result.",not included,included,not included,,https://www.fda.gov/media/142905/download,https://www.fda.gov/media/142902/download,,,,,
Y,"ZEUS Scientific, Inc.",ZEUS ELISA SARS-CoV-2 IgG Test System ,,https://www.zeusscientific.com/products/zeus-elisa-test-systems/zeus-elisa-sars-cov-2-igg-test-system,Kit,USA,"EUA granted October 06, 2020",Laboratory,"H, M",Serology,IgG,ELISA,"Ser, Pla","Dipotassium EDTA, lithium heparin, sodium citrate",NA,"S, N",Manual ,"Any plate reader for manual assay, AGILITY automated ELISA analyzer for automated assay (Dynex Technologies)",60-80min,NA,,"Cross-reactivity detected in wet lab testing: false-positive rate of 1.1% using specimens of patients with other respiratory illnesses, 4.3% using HIV-positive patients, 1.1% using specimens from healthy blood donors. ",93.30%,30,Clinical,100.00%,70,,,"PPa determined with 30  frozen positive serum and plasma clinical samples confirmed positive with a nucleic acid amplification test (NAAT) and in which both IgM and IgG antibodies  were confirmed to be present using several orthogonal methods prior to testing with the ZEUS ELISA SARS-CoV-2 IgG.
NPA determined with 70 frozen antibody-negative serum and plasma clinical samples collected prior to 2020 without regard to clinical status and assumed to be negative.  10 samples were collected from known HIV-positive patients to measure cross-reactivity with HIV antibodies but were not included in NPA. 
Clinical performance study was performed as an Independent Clinical Agreement Validation Study on July 2, 2020 at the Frederick National Laboratory for Cancer Research (FNLCR) sponsored by the National Cancer Institute (NCI).
Note: test is specific for human IgG and does not cross react with human IgM antibody",included,included,included,,https://www.fda.gov/media/142809/download,https://www.fda.gov/media/142806/download,,,,,
Y,"University of California, Los Angeles (UCLA)",UCLA SwabSeq COVID-19 Diagnostic Platform ,,https://compmed.ucla.edu/content/ucla-swabseq-covid-19-diagnostic-test,Lab,USA,"EUA granted October 06, 2020",Laboratory,H,Molecular ,RNA,NGS,"NP swab,OP swab, MTNs swab, ANs swab","VTM, Amies Transport Medium, Saline",S,NA,"Thermo Fisher MagMAX Viral/Pathogen Nucleic Acid Isolation Kit on Thermo Fisher Kingfisher Instrument for extraction, TaqPath 1-Step RT-qPCR Master Mix on Veriti 384-Well Thermal Cycler for amplification. ","Illumina MiSeq sequencing system, Illumina NextSeq 500/550 sequencing system (both with UCLA Amplicon Quantification Software V1.0.)",ND,250 GCE/mL for both NextSeq and MiSeq systems,,No cross-reactivity predicted in silico ,100.00%,82,Clinical,100.00%,88,,,"PPa determined with 31 (MiSeq sequencer) and 51 (NextSeq sequencer) remnant positive NP swab clinical specimens collected in either VTM, Amies Transport Medium or Saline, and confirmed positive using an undisclosed EUA-authorized molecular assay at the UCLA Clinical Microbiology Laboratory. 
NPA determined with 35 (MiSeq sequencer) and 53 (NextSeq sequencer) negative NP swab clinical specimens and confirmed negative using an undisclosed EUA-authorized molecular assay at the UCLA Clinical  Microbiology Laboratory.",included,included,included,"https://www.medrxiv.org/content/10.1101/2020.08.04.20167874v1
https://www.biorxiv.org/content/10.1101/2020.08.15.252510v1",https://www.fda.gov/media/142805/download,https://www.fda.gov/media/142802/download,,,,,
,"SEASUN BIOMATERIALS, Inc.",AQ-TOP COVID-19 Rapid Detection Kit PLUS ,,,,,"EUA granted October 05, 2020",Laboratory,H,Molecular ,RNA,RT-LAMP,,,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/142800/download,https://www.fda.gov/media/142797/download,,,,,
,Quidel Corporation,Sofia 2 Flu + SARS Antigen FIA,,https://www.quidel.com/immunoassays/sofia-2-flu-sars-antigen-fia,Kit,USA,"EUA granted October 02, 2020","Laboratory, POC","H, M, W","Antigen Lateral Flow, Fluorescence, Instrument Read, Multi-Analyte",Antigen,,,,NA,,Manual,,15min,,,,,,,,,,,,,,,,https://www.fda.gov/media/142697/download,https://www.fda.gov/media/142697/download,,,,,
Y,Thermo Fisher Scientific,OmniPATH COVID-19 Total Antibody ELISA Test,,https://www.thermofisher.com/covid-19-antibody-testing/us/en/solutions/OmniPATH-COVID19-Total-Antibody-ELISA-Test.html,Kit,USA,"EUA granted October 02, 2020",Laboratory,"H, M",Serology ,IgA/IgM/IgG,ELISA,Ser,,NA,S,"Manual, Dynex AGILITY automated ELISA workstation","Any plate reader for manual assay, AGILITY automated ELISA analyzer for automated assay (Dynex Technologies)",ND,NA,,Cross-reactivity detected in wet lab testing of 240 specimens from 16 different disease categories: test detected 1 in 30 specimens positive for Chlamydophila pneumoniae IgG,96.70%,30,Clinical,97.50%,80,,,"PPa determined with 30  frozen positive serum clinical samples confirmed positive with a nucleic acid amplification test (NAAT) and in which both IgM and IgG antibodies  were confirmed to be present using several orthogonal methods prior to testing with the OmniPATH COVID-19 Total Antibody.
NPA determined with 80 frozen antibody-negative serum and anticoagulent citrate dextrose (ACD) plasma clinical samples collected prior to 2020 assumed to be negative. 70 negative samples were collected  without regard to clinical status and 10 samples were collected from known HIV-positive patients. 
Clinical performance study was performed as an Independent Clinical Agreement Validation Study on September 1, 2020 at the Frederick National Laboratory for Cancer Research (FNLCR) sponsored by the National Cancer Institute (NCI)",included,included,included,,https://www.fda.gov/media/142700/download,https://www.fda.gov/media/142697/download,,,,,
,"BioFire Diagnostics, LLC",BioFire Respiratory Panel 2.1-EZ (RP2.1-EZ),,https://www.biofiredx.com/products/the-filmarray-panels/filmarrayrp/,,USA,"EUA granted October 02, 2020","Laboratory, POC","H, M, W",Molecular ,RNA,"RT, Nested multiplex PCR, Multi-analyte",,,,NA,,,45min,,,,,,,,,,,,,,,,https://www.fda.gov/media/142696/download,https://www.fda.gov/media/142693/download,,,,,
,UMass Memorial Medical Center,UMass Molecular Virology Laboratory 2019-nCoV rRT-PCR Dx Panel,,https://www.umassmemorialhealthcare.org/umass-memorial-medical-center/patients-visitors/patient-resources/free-covid-19-testing,Lab,USA,"EUA granted October 01, 2020",Laboratory,H,Molecular ,RNA,rRT-PCR,,,,NA,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/142597/download,https://www.fda.gov/media/142689/download,,,,,
,"Beckman Coulter, Inc.",Access IL-6,,,,,"EUA granted October 01, 2020",Laboratory,"H, M","One-step immunoenzymatic (""sandwich"") assay, IL-6",,,,,,,,,,,,,,,,,,,,,,,,,https://www.fda.gov/media/142600/download,https://www.fda.gov/media/142597/download,,,,,
,"Tempus Labs, Inc.",iC SARS-CoV2 Test,,https://www.tempus.com/pcr-testing/,Lab,USA,"EUA granted October 01, 2020",Laboratory,H,Molecular ,RNA,rRT-PCR,"NP swab, OP swab, ANs swab, MTNs swab, Ns swab","VTM, MAWI DNA Technologies iSWAB-Microbiome collection tube",", N, S, ORF1ab",NA,"Chemagic Viral DNA/RNA 300 H96 kit on the PerkinElmer Chemagic 360 instrument (software version 6.3.0.3) for automated extraction, TaqPath COVID-19 Combo Kit for reverse transcription and amplification",ABI QuantStudio 7 Flex 384 (software version 1.3).,24-48 hours,0.25 copies/µL (11 GCE/reaction),,No cross-reactivity predicted in silico ,100.00%,59,clinical,98.40%,61,,,"PPA determined with 59 clinical NP specimens collected from an undisclosed location in VTM and confirmed positive with Thermo Fisher Scientific TaqPath COVID-19 Combo kit (30 samples) or AvellinoCoV2 test (29 samples).
NPA determined with 61 clinical NP specimens  collected from an undisclosed location in VTM and confirmed negative with Thermo Fisher Scientific TaqPath COVID-19 Combo kit (31 samples) or AvellinoCoV2 test (30 samples).
Additional validation was performed using 38 negative clinical samples and 37 contrived samples prepared by spiking Twist Bioscience synthetic SARS-CoV-2 RNA Control 1 into leftover non-reactive clinical specimens ( NP swab, ANs swab) collected in Mawi or VTM at 2X LoD, resulting in 100% agreement with expected positive results and 100% agreement with expected negative results.
Samples were stable at room temperature (25°C) for 8 days in Mawi iSwab Microbiome medium.",included,included,included,,https://www.fda.gov/media/142596/download,https://www.fda.gov/media/142593/download,,,,,
,"Alimetrix, Inc.",Alimetrix SARS-CoV-2 RT-PCR Assay,,https://www.alimetrix.com/covid-19.html,Lab,USA,"EUA granted September 30, 2020",Laboratory,H,Molecular ,RNA,"RT-PCR, Microarray Hybridization","NP swab, OP swab, ANs swab, MTNs swab, NP wash, NP aspirate, Ns aspirate, BAL",Zymo Research DNA/RNA Shield media ,"N (N1, N2), Orf1ab",NA,"Qiagen QIAamp 96 Virus QIAcube HT (manual) on QiaVac manifold or Zymo Research Quick-DNA/RNA Viral MagBead Extraction Kit performed on the automated MagMAX Express 96 instrument (with software version 1.2) for extraction, amplification using Qiagen QuantiFast Multiplex RT-PCR +R kit on the Applied Biosystems GeneAmp 9700 Thermal Cycler ( AB software version 3.12), hybridization using Alimetrix Environmentally-controlled hybridization robot (Flair Automated Analysis Software version 3.0)",Sensovation Sensopot microarray scanner (software ArrayReader version 3.1.0.15245),24 hours,"0.25 copy/μL for automated RNA extraction using Zymo Research Quick-DNA/RNA Viral MagBead
1 copy/μL for manuel RNA extraction using Qiagen QIAamp 96 Virus QIAcube HT ",,No cross-reactivity predicted in silico nor detected in wet lab testing,98.70%,41,Clinical,95.50%,47,,,"PPA determined with 41 clinical specimens total, 36 of which were either leftover clinical NP swab specimens (BBL SARS-CoV-2 Validation Panel) purchased from BocaBiolistics Biobanx or leftover NP swab specimens obtained from an undisclosed outside laboratory. Positivity was confirmed using EUA authorized molecular tests in which 30 clinical specimens were tested with undisclosed comparator test 1 and 6 clinical specimens were tested with undisclosed comparator test 2.  In addition the first five positive clinical specimens determined by the Alimetrix SARS- CoV-2 RT-PCR Assay were sent to an undisclosed outside laboratory running an authorized molecular test for confirmatory positive determination.
NPA determined with 47 clinical specimens total, 36 of which were either leftover clinical NP  swab specimens (BBL SARS-CoV-2 Validation Panel) purchased from BocaBiolistics Biobanx or leftover NP swab specimens obtained from an undisclosed outside laboratory. Negativity was confirmed using EUA authorized molecular tests in which 30 clinical specimens were tested with undisclosed comparator test 1 and 12 clinical specimens were tested with undisclosed comparator test 2. In addition the first five negative clinical specimens determined by the Alimetrix SARS- CoV-2 RT-PCR Assay were sent to an undisclosed 
outside laboratory running an authorized molecular test for confirmatory negative determination.  
All specimens were tested twice using Zymo Quick-DNA/RNA Viral MagBead Extraction Method (automated) and Qiagen QIAamp 96 Virus QIAcube HT Kit (manual). ",included,included,included,ND,https://www.fda.gov/media/142592/download,https://www.fda.gov/media/142589/download,,,,,
,Aeon Global Health,Aeon Global Health SARS-CoV-2 Assay,,https://aeonglobalhealth.com/covid-19/,Lab,USA,"EUA granted September 30, 2020",Laboratory,H,Molecular,RNA,rRT-PCR,"Ns swab, MTNs swab, NP swab, OP swab, NP wash, NP aspirate, Ns aspirate, BAL",ND,"N, S, Orf1ab",NA,"Automated RNA extraction using Omega Bio-Tek Mag-Bind Viral DNA/RNA 96 kit on the MagMax Express-96 Magnetic Particle Processor, amplification using Thermo Fisher Scientific TaqPath COVID-19 Combo Kit and TaqPath 1-Step Multiplex Master Mix",AB QuantStudio 12K Flex Real-Time PCR System with QuantStudio 12K Software (v1.3) for primary analysis and AB Design and Analysis Software (DA2 v2.4.0) for secondary analysis,24 hours,0.25 copy/μL,,No cross-reactivity predicted in silico,100.00%,35,Clinical,97.14%,35,,,"PPA determined with 35 clinical NP specimens confirmed positive with 2 different undisclosed EUA-approved molecular tests.
NPA determined with 35 clinical NP specimens confirmed negative with 2 different undisclosed EUA-approved molecular tests.",included,included,included,,https://www.fda.gov/media/142535/download,https://www.fda.gov/media/142532/download,,,,,
,"DiaSorin, Inc.",DiaSorin LIAISON SARS-CoV-2 IgM Assay,,https://www.diasorin.com/en/immunodiagnostic-solutions/clinical-areas/infectious-diseases/covid-19,Kit,Italy,"EUA granted September 29, 2020",Laboratory,H,Serology,IgM,Heterogeneous Immunoassay (CLIA),"Ser, Pla","Dipotassium EDTA, sodium heparin, lithium heparin",NA,S,Manual,LIAISON® XL Analyzer,ND,NA,,"Crossreactivity in web lab testing indicated 1/10 positive for -Mycoplasma pneumoniae, 1/10 positive for HAMA, 1/10 positive for HSV 1/2",91.80%,122,Clinical,99.30%,2473,,,"PPA determined with 122 clinical samples from European patients (types of samples undisclosed) obtained between 8 to 30 days after diagnosis and confirmed positive with an undisclosed molecular test.
NPA determined with 2473 clinical samples collected before the COVID19 outbreak from a European laboratory routine (n=1072), a US laboratory routine (n=400) and European blood donors (n= 1001), presumed Sars-cov2 negative.                                                                            ",not included ,included,not included,,https://www.fda.gov/media/142552/download,https://www.fda.gov/media/142549/download,,,,,
,"NanoEntek America, Inc.",FREND COVID-19 total Ab ,,http://www.nanoentek.com/theme/nanont2_en/shop/02/product01_view.php?it_id=1585699547,Kit,South Korea,"EUA granted September 29, 2020",Laboratory,"H, M",Serology ,IgM/IgG,Lateral Flow Fluorescence immunoassay,Pla,Dipotassium EDTA,NA,N,Manual,FREND bench-top fluorescence reader,4 minutes,NA,,ND,96.70%,30,Clinical,98.80%,80,,,"PPA determined with 30 clinical serum samples confirmed positive with an undisclosed molecular test and in which the presence of IgM and IgG antibodies was confirmed using one or several undisclosed comparator methods. 
NPA determined with 80 serum or plasma clinical samples collected prior to 2020 and including 70 samples selected regardless of clinical status and 10 samples selected from HIV-positive patients, confirmed sars-cov2 negative using an undisclosed molecular test.                                                                            
Clinical performance was tested at the  NCI-sponsored Frederick National Laboratory for Cancer Research (USA).   ",not included ,included,not included,,https://www.fda.gov/media/142557/download,https://www.fda.gov/media/142554/download,,,,,
